tipo_transacao,valor_brl,saldo_anterior_pagador,saldo_posterior_pagador,saldo_anterior_recebedor,saldo_posterior_recebedor,hora_dia,dia_util,horario_noturno,acima_limite_noturno,razao_saldo_residual,proporcao_valor_recebedor,fraude
dados_bancarios,399546.78,876902.02,477355.24,22290.5,421837.28,8,True,False,False,0.544366,0.947159,0
dados_bancarios,724804.64,4360543.66,3635739.02,100350.81,825155.45,15,False,False,False,0.833781,0.878386,0
dados_bancarios,227994.78,228222.77,227.99,268.52,228263.3,12,False,False,False,0.000999,0.998824,1
chave_pix,849945.81,17331260.36,16481314.55,0.01,849945.82,17,True,False,False,0.950959,1.0,0
chave_pix,1099000.47,6240121.94,5141121.47,1975.45,1100975.92,14,False,False,False,0.823882,0.998206,0
pix_copia_e_cola,400764.99,930626.09,529861.1,15257.53,416022.52,15,True,False,False,0.56936,0.963325,0
chave_pix,29473.67,56675.31,27201.64,357.88,29831.55,21,True,True,True,0.479956,0.988003,1
pix_copia_e_cola,133207.71,237146.15,103938.44,699.29,133907.0,21,False,True,True,0.438289,0.994778,1
chave_pix,2374863.91,5762738.52,3387874.61,5470.52,2380334.43,10,True,False,False,0.587893,0.997702,0
chave_pix,1547877.98,1549425.86,1547.88,727.63,1548605.61,12,True,False,False,0.000999,0.99953,1
dados_bancarios,245101.46,805768.13,560666.67,11462.9,256564.36,14,True,False,False,0.695816,0.955322,0
dados_bancarios,276400.36,3063569.54,2787169.18,65938.43,342338.79,18,False,False,False,0.909778,0.807388,0
chave_pix,52548.49,337789.87,285241.38,1032.97,53581.46,3,False,True,True,0.844434,0.980722,1
chave_pix,1161581.25,1298940.7,137359.45,86.46,1161667.71,17,True,False,False,0.105747,0.999926,1
pix_copia_e_cola,358672.71,1566260.18,1207587.47,17217.02,375889.73,16,True,False,False,0.771001,0.954197,0
chave_pix,556735.81,6399061.24,5842325.43,46507.96,603243.77,13,False,False,False,0.912997,0.922904,0
dados_bancarios,444458.27,4122556.77,3678098.5,12513.29,456971.56,14,True,False,False,0.892189,0.972617,0
chave_pix,533476.33,5379627.54,4846151.21,3266.96,536743.29,17,False,False,False,0.900834,0.993913,0
dados_bancarios,496719.82,763371.37,266651.55,120.9,496840.72,3,True,True,True,0.349308,0.999757,1
chave_pix,235066.55,235301.61654999998,235.07,348.84,235415.39,6,False,False,False,0.000999,0.998518,1
chave_pix,2818158.1,2820976.2580999997,2818.16,350.61,2818508.71,13,True,False,False,0.000999,0.999876,1
chave_pix,744197.02,1786343.59,1042146.57,70571.32,814768.34,20,False,True,True,0.583396,0.913385,0
chave_pix,286270.35,1584363.07,1298092.72,82631.98,368902.33,16,True,False,False,0.819315,0.776006,0
chave_pix,391215.7,3890740.93,3499525.23,17793.59,409009.29,13,True,False,False,0.89945,0.956496,0
chave_pix,702554.03,10613460.15,9910906.12,12180.07,714734.1,17,False,False,False,0.933805,0.982959,0
chave_pix,585495.83,1229514.77,644018.94,33237.94,618733.77,14,True,False,False,0.523799,0.946281,0
chave_pix,70529.45,70599.97944999998,70.53,0.01,70529.46,17,False,False,False,0.000999,1.0,0
chave_pix,1536664.35,3602117.71,2065453.36,7371.98,1544036.33,10,True,False,False,0.5734,0.995226,0
chave_pix,1290940.14,5482674.17,4191734.03,67142.09,1358082.23,11,False,False,False,0.764542,0.950561,0
chave_pix,302773.8,1080300.88,777527.08,82250.21,385024.01,16,False,False,False,0.719732,0.786376,0
chave_pix,1182786.53,5104053.16,3921266.63,12984.08,1195770.61,9,True,False,False,0.768265,0.989142,0
chave_pix,423159.95,1945631.34,1522471.39,13482.61,436642.56,18,False,False,False,0.782508,0.969122,0
chave_pix,780630.26,795522.06,14891.8,2919.65,783549.91,19,False,False,False,0.01872,0.996274,0
dados_bancarios,80614.88,505818.92,425204.04,7004.92,87619.8,8,False,False,False,0.840625,0.920053,0
chave_pix,171360.32,1623609.74,1452249.42,37740.12,209100.44,2,True,True,True,0.894457,0.819512,0
dados_bancarios,223730.4,223954.13,223.73,175.82,223906.22,23,True,True,True,0.000999,0.999215,1
chave_pix,1165060.16,3669441.53,2504381.37,34628.17,1199688.33,14,True,False,False,0.682497,0.971136,0
dados_bancarios,1164562.27,3882370.11,2717807.84,22137.34,1186699.61,6,True,False,False,0.700038,0.981345,0
chave_pix,635426.97,4761284.48,4125857.51,0.01,635426.98,8,True,False,False,0.866543,1.0,0
dados_bancarios,490660.38,2041105.37,1550444.99,31307.15,521967.53,19,True,False,False,0.75961,0.940021,0
dados_bancarios,0.01,278549.07,278549.06,10465.72,10465.73,21,False,True,False,1.0,1e-06,0
chave_pix,6807226.02,6814033.246019999,6807.23,858.39,6808084.41,3,True,True,True,0.000999,0.999874,1
dados_bancarios,405062.33,409050.29,3987.96,94.83,405157.16,19,True,False,False,0.009749,0.999766,1
pix_copia_e_cola,408521.74,408930.2617399999,408.52,68924.98,477446.72,16,True,False,False,0.000999,0.855638,0
pix_copia_e_cola,246703.57,1253019.11,1006315.54,2509.57,249213.14,14,False,False,False,0.803113,0.98993,0
pix_copia_e_cola,396888.81,2698543.16,2301654.35,16757.28,413646.09,13,False,False,False,0.852925,0.959489,0
chave_pix,226795.2,869214.01,642418.81,42163.35,268958.55,16,True,False,False,0.73908,0.843235,0
pix_copia_e_cola,320188.07,1963274.95,1643086.88,28991.11,349179.18,20,True,True,True,0.836911,0.916974,0
chave_pix,769922.55,2232193.83,1462271.28,13159.13,783081.68,15,True,False,False,0.655083,0.983196,0
chave_pix,10236227.21,11261069.96,1024842.75,179.83,10236407.04,9,False,False,False,0.091008,0.999982,1
chave_pix,2552150.34,2603232.03,51081.69,167.42,2552317.76,11,True,False,False,0.019622,0.999934,1
chave_pix,1398633.34,1485881.37,87248.03,139.53,1398772.87,13,True,False,False,0.058718,0.9999,1
chave_pix,175127.9,175303.0279,175.13,165.19,175293.09,5,True,True,True,0.000999,0.999058,1
chave_pix,8707315.68,60983211.3,52275895.62,23799.1,8731114.78,10,False,False,False,0.857218,0.997274,0
chave_pix,763888.31,2862852.45,2098964.14,28130.9,792019.21,0,True,True,True,0.733172,0.964482,0
chave_pix,147843.5,962676.56,814833.06,5997.53,153841.03,16,True,False,False,0.846425,0.961015,0
chave_pix,244418.94,2150858.75,1906439.81,6377.99,250796.93,14,False,False,False,0.886362,0.974569,0
chave_pix,413912.23,1873429.19,1459516.96,12204.09,426116.32,14,True,False,False,0.779062,0.97136,0
dados_bancarios,932695.58,17466079.57,16533383.99,15343.88,948039.46,7,False,False,False,0.9466,0.983815,0
chave_pix,667691.83,2233911.95,1566220.12,29431.74,697123.57,14,False,False,False,0.701111,0.957781,0
dados_bancarios,294723.39,2874312.98,2579589.59,11936.98,306660.37,16,True,False,False,0.897463,0.961074,0
chave_pix,368338.49,1284216.57,915878.08,87280.43,455618.92,20,True,True,True,0.71318,0.808435,0
chave_pix,1314720.23,6958046.66,5643326.43,21741.5,1336461.73,12,False,False,False,0.81105,0.983732,0
chave_pix,97315.1,1620193.03,1522877.93,16305.42,113620.52,17,True,False,False,0.939936,0.856492,0
pix_copia_e_cola,779064.7,5335961.92,4556897.22,8751.31,787816.01,14,True,False,False,0.853997,0.988892,0
pix_copia_e_cola,320175.18,389225.85,69050.67,46049.89,366225.07,9,False,False,False,0.177405,0.874258,0
chave_pix,407449.88,1142437.0,734987.12,22319.15,429769.03,20,True,True,True,0.64335,0.948067,0
chave_pix,668031.08,4608161.55,3940130.47,14712.88,682743.96,12,True,False,False,0.855033,0.97845,0
pix_copia_e_cola,541850.4,1922597.02,1380746.62,21604.96,563455.36,14,True,False,False,0.718167,0.961656,0
chave_pix,372168.56,372540.72855999996,372.17,0.01,372168.57,3,True,True,True,0.000999,1.0,1
chave_pix,825661.13,3144120.98,2318459.85,98451.2,924112.33,16,False,False,False,0.737395,0.893464,0
chave_pix,401908.49,3432472.57,3030564.08,9534.52,411443.01,18,False,False,False,0.88291,0.976827,0
dados_bancarios,241259.87,525028.88,283769.01,7859.41,249119.28,23,False,True,True,0.540483,0.968451,0
chave_pix,316521.69,3158755.34,2842233.65,9462.01,325983.7,11,False,False,False,0.899795,0.970974,0
chave_pix,517702.81,3397683.2,2879980.39,24186.98,541889.79,17,True,False,False,0.847631,0.955365,0
chave_pix,3832424.8,14563465.25,10731040.45,35920.62,3868345.42,15,True,False,False,0.736847,0.990714,0
chave_pix,603095.68,603698.77568,603.1,293.78,603389.46,22,True,True,True,0.000999,0.999513,1
chave_pix,2153055.36,2155208.42,2153.06,1309.98,2154365.34,6,True,False,False,0.000999,0.999392,1
chave_pix,710240.43,2972369.48,2262129.05,26377.77,736618.2,16,True,False,False,0.761052,0.964191,0
chave_pix,892213.56,1219237.48,327023.92,224.9,892438.46,5,False,True,True,0.26822,0.999748,1
pix_copia_e_cola,9595335.29,29319627.97,19724292.68,25066.06,9620401.35,23,False,True,True,0.672733,0.997394,0
chave_pix,158585.33,476177.33,317592.0,15307.37,173892.7,21,True,True,True,0.666962,0.911972,0
chave_pix,556767.46,2927856.73,2371089.27,4244.32,561011.78,9,False,False,False,0.809838,0.992435,0
dados_bancarios,667329.62,796874.71,129545.09,496.18,667825.8,11,True,False,False,0.162566,0.999257,1
chave_pix,206704.31,206911.01430999997,206.7,477.93,207182.24,17,True,False,False,0.000999,0.997693,1
chave_pix,462595.32,1732195.58,1269600.26,23768.72,486364.04,20,False,True,True,0.732943,0.95113,0
chave_pix,2190762.32,2192953.08,2190.76,59.75,2190822.07,6,True,False,False,0.000999,0.999973,1
chave_pix,64006.97,136568.82,72561.85,2309.47,66316.44,14,True,False,False,0.531321,0.965175,0
chave_pix,164215.72,528115.06,363899.34,76233.8,240449.52,11,True,False,False,0.689053,0.682953,0
chave_pix,2060208.9,16287611.63,14227402.73,74632.68,2134841.58,15,True,False,False,0.873511,0.965041,0
chave_pix,661102.97,3606880.95,2945777.98,42091.4,703194.37,17,True,False,False,0.816711,0.940143,0
chave_pix,240753.94,858038.7,617284.76,13354.75,254108.69,11,True,False,False,0.719414,0.947445,0
dados_bancarios,366245.22,2000681.82,1634436.6,47408.06,413653.28,19,False,False,False,0.81694,0.885392,0
chave_pix,10000000.0,11312352.02,1312352.02,195.91,10000195.91,21,True,True,True,0.116011,0.99998,1
dados_bancarios,0.01,144692.02,144692.01,34062.5,34062.51,1,False,True,False,1.0,0.0,1
chave_pix,1501079.91,7891505.32,6390425.41,31459.4,1532539.31,19,False,False,False,0.809785,0.979472,0
chave_pix,474963.71,774085.54,299121.83,87522.8,562486.51,13,True,False,False,0.38642,0.8444,0
chave_pix,692852.46,693545.3124599999,692.85,13475.73,706328.19,13,True,False,False,0.000999,0.980921,0
chave_pix,1023356.77,1082042.25,58685.48,469.05,1023825.82,13,True,False,False,0.054236,0.999542,1
chave_pix,44873.11,44917.983109999994,44.87,298.51,45171.62,17,True,False,False,0.000999,0.993392,1
chave_pix,186858.1,1386954.13,1200096.03,9259.03,196117.13,0,True,True,True,0.865274,0.952788,0
chave_pix,529390.43,529919.82043,529.39,80430.97,609821.4,20,True,True,True,0.000999,0.868107,0
chave_pix,223929.46,364193.07,140263.61,9197.43,233126.89,15,True,False,False,0.385135,0.960548,0
chave_pix,659872.18,2522050.37,1862178.19,47279.73,707151.91,18,True,False,False,0.738359,0.933141,0
dados_bancarios,547746.17,3297530.17,2749784.0,70812.02,618558.19,14,True,False,False,0.833892,0.885521,0
dados_bancarios,900320.39,2822357.87,1922037.48,65609.12,965929.51,19,False,False,False,0.681004,0.932077,0
chave_pix,100938.49,404827.21,303888.72,31101.95,132040.44,16,True,False,False,0.750663,0.764451,0
dados_bancarios,838753.21,6026622.97,5187869.76,21921.28,860674.49,13,False,False,False,0.860825,0.97453,0
dados_bancarios,569685.72,8400728.16,7831042.44,30489.84,600175.56,18,True,False,False,0.932186,0.949198,0
chave_pix,193775.05,922339.48,728564.43,10763.45,204538.5,14,False,False,False,0.789909,0.947377,0
chave_pix,581368.19,3338763.14,2757394.95,82829.69,664197.88,14,True,False,False,0.825873,0.875294,0
chave_pix,1556093.82,5507203.07,3951109.25,20126.57,1576220.39,11,False,False,False,0.717444,0.987231,0
chave_pix,776365.15,940109.88,163744.73,26243.98,802609.13,14,True,False,False,0.174176,0.967302,0
pix_copia_e_cola,1204316.07,2662049.85,1457733.78,10867.86,1215183.93,14,False,False,False,0.547598,0.991057,0
chave_pix,0.01,333555.52,333555.51,892.32,892.33,9,False,False,False,1.0,1.1e-05,1
pix_copia_e_cola,770416.94,1287822.25,517405.31,44584.36,815001.3,8,True,False,False,0.401768,0.945295,0
chave_pix,133901.59,306611.33,172709.74,133229.0,267130.59,9,False,False,False,0.563286,0.501259,1
chave_pix,458603.07,459061.67,458.6,34.94,458638.01,10,False,False,False,0.000999,0.999924,1
chave_pix,236894.95,664541.97,427647.02,7926.42,244821.37,20,True,True,True,0.643521,0.967624,0
chave_pix,218389.83,1029766.3,811376.47,4771.3,223161.13,15,False,False,False,0.787923,0.978619,0
pix_copia_e_cola,16275.6,114245.94,97970.34,13896.25,30171.85,16,True,False,False,0.857539,0.53943,0
dados_bancarios,298774.39,2171878.19,1873103.8,144121.85,442896.24,19,True,False,False,0.862435,0.674592,0
chave_pix,481838.17,1648106.72,1166268.55,37757.18,519595.35,10,False,False,False,0.707641,0.927333,0
chave_pix,33736.4,33770.136399999996,33.74,21872.54,55608.94,11,True,False,False,0.000999,0.606672,0
chave_pix,129774.21,452708.98,322934.77,18896.4,148670.61,19,True,False,False,0.713339,0.872898,0
chave_pix,0.01,0.01001,0.0,31988.77,31988.78,13,True,False,False,0.0,0.0,0
chave_pix,457829.19,1111388.12,653558.93,11382.46,469211.65,19,False,False,False,0.588056,0.975741,0
chave_pix,0.01,527684.33,527684.32,312.99,313.0,22,False,True,False,1.0,3.2e-05,1
chave_pix,480707.93,2617531.2,2136823.27,18226.2,498934.13,16,True,False,False,0.816351,0.96347,0
chave_pix,16595.01,29556.62,12961.61,135938.19,152533.2,17,True,False,False,0.438535,0.108796,0
dados_bancarios,1449950.91,2387697.25,937746.34,14585.52,1464536.43,18,True,False,False,0.392741,0.990041,0
chave_pix,1413577.73,11776248.7,10362670.97,75922.51,1489500.24,10,True,False,False,0.879964,0.949028,0
chave_pix,810846.04,2562641.42,1751795.38,403519.31,1214365.35,15,True,False,False,0.68359,0.667712,0
chave_pix,238878.14,1405579.24,1166701.1,37634.91,276513.05,13,True,False,False,0.83005,0.863895,0
pix_copia_e_cola,359106.81,3612036.3,3252929.49,29196.09,388302.9,19,True,False,False,0.900581,0.924811,0
chave_pix,280005.68,2781563.28,2501557.6,15198.51,295204.19,21,True,True,True,0.899335,0.948515,0
chave_pix,844650.11,8702859.9,7858209.79,29180.75,873830.86,13,False,False,False,0.902946,0.966606,0
chave_pix,1778520.7,2433059.04,654538.34,1434.3,1779955.0,3,True,True,True,0.269019,0.999194,1
chave_pix,313248.68,558471.61,245222.93,0.01,313248.69,9,True,False,False,0.439097,1.0,1
dados_bancarios,632470.99,5147974.06,4515503.07,4373.59,636844.58,17,True,False,False,0.877142,0.993132,0
pix_copia_e_cola,31323.2,112546.85,81223.65,27442.49,58765.69,9,False,False,False,0.721687,0.533019,0
chave_pix,44829.81,44874.64,44.83,3208.76,48038.57,1,True,True,True,0.000999,0.933205,1
chave_pix,962391.02,4755610.02,3793219.0,17326.6,979717.62,16,False,False,False,0.79763,0.982315,0
chave_pix,10724679.5,51522691.01,40798011.51,11396.0,10736075.5,15,False,False,False,0.791846,0.998939,0
chave_pix,1138522.66,4777428.72,3638906.06,20206.04,1158728.7,15,False,False,False,0.761687,0.982562,0
