data,descricao,categoria,valor,tipo,is_anomaly
2025-01-04,Assinaturas - compra,assinaturas,-28.74,debito,False
2025-01-05,Salario,renda,9000.0,credito,False
2025-01-05,Outros - compra,outros,-144.6,debito,False
2025-01-05,Educacao - compra,educacao,-65.19,debito,False
2025-01-05,Saude - compra,saude,-73.5,debito,False
2025-01-06,Educacao - compra,educacao,-65.83,debito,False
2025-01-07,Lazer - compra,lazer,-112.52,debito,False
2025-01-07,Outros - compra,outros,-139.04,debito,False
2025-01-10,Educacao - compra,educacao,-75.89,debito,False
2025-01-10,Streaming Premium (assinatura),assinaturas,-39.9,debito,False
2025-01-11,Transporte - compra,transporte,-134.38,debito,False
2025-01-11,Assinaturas - compra,assinaturas,-30.92,debito,False
2025-01-13,Lazer - compra,lazer,-117.21,debito,False
2025-01-13,Assinaturas - compra,assinaturas,-31.69,debito,False
2025-01-13,Saude - compra,saude,-111.68,debito,False
2025-01-14,Transporte - compra,transporte,-88.51,debito,False
2025-01-15,Educacao - compra,educacao,-64.78,debito,False
2025-01-15,Alimentacao - compra,alimentacao,-389.29,debito,False
2025-01-18,Lazer - compra,lazer,-148.54,debito,False
2025-01-20,Transporte - compra,transporte,-116.1,debito,False
2025-01-21,Saude - compra,saude,-54.57,debito,False
2025-01-21,Moradia - compra,moradia,-1762.56,debito,False
2025-01-22,Transporte - compra,transporte,-112.03,debito,False
2025-01-24,Lazer - compra,lazer,-49.45,debito,False
2025-01-24,Alimentacao - compra,alimentacao,-701.58,debito,False
2025-01-25,Assinaturas - compra,assinaturas,-29.23,debito,False
2025-01-25,Saude - compra,saude,-62.15,debito,False
2025-02-01,Educacao - compra,educacao,-59.61,debito,False
2025-02-01,Assinaturas - compra,assinaturas,-28.09,debito,False
2025-02-02,Lazer - compra,lazer,-129.31,debito,False
2025-02-03,Moradia - compra,moradia,-439.46,debito,False
2025-02-03,Saude - compra,saude,-49.03,debito,False
2025-02-04,Outros - compra,outros,-141.43,debito,False
2025-02-04,Lazer - compra,lazer,-332.02,debito,False
2025-02-05,Salario,renda,9000.0,credito,False
2025-02-06,Transporte - compra,transporte,-114.4,debito,False
2025-02-06,Assinaturas - compra,assinaturas,-29.71,debito,False
2025-02-07,Assinaturas - compra,assinaturas,-28.62,debito,False
2025-02-09,Moradia - compra,moradia,-444.01,debito,False
2025-02-10,Streaming Premium (assinatura),assinaturas,-39.9,debito,False
2025-02-11,Moradia - compra,moradia,-451.97,debito,False
2025-02-15,Educacao - compra,educacao,-66.95,debito,False
2025-02-16,Transporte - compra,transporte,-103.51,debito,False
2025-02-16,Educacao - compra,educacao,-63.52,debito,False
2025-02-16,Outros - compra,outros,-109.51,debito,False
